index,CITY,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
644,"CHARLESTON,SC",82,83,94,94,99,104,103,103,100,95,87,81,104
645,"GALVESTON,TX",87,81,87,95,93,100,98,100,104,92,84,80,104
646,"OLYMPIA,WA",64,73,79,87,96,98,104,104,98,90,74,64,104
647,"CHARLESTON,WV",79,79,89,94,94,103,104,104,102,93,85,80,104
648,"HUNTINGTON,WV",78,79,87,92,93,103,104,103,98,93,83,80,104
649,"GREEN BAY,WI",56,61,82,89,99,101,104,100,97,88,74,64,104
650,"MADISON,WI",62,64,83,94,94,101,104,102,99,90,77,65,104
651,"CASPER,WY",60,68,77,84,95,102,104,102,97,87,72,63,104
652,"MOBILE,AL",84,84,89,94,100,103,104,105,99,93,87,81,105
653,"WASHINGTON DULLES,DC",75,79,89,93,,102,105,104,99,94,84,79,105
654,"WASHINGTON NAT'L,DC",79,82,89,95,,104,105,105,101,94,86,79,105
655,"JACKSONVILLE,FL",85,88,91,95,,103,105,102,100,96,89,85,105
656,"TALLAHASSEE,FL",83,89,91,95,,105,103,103,99,94,89,84,105
657,"SAVANNAH,GA",84,86,91,95,,104,105,104,98,97,89,83,105
658,"PEORIA,IL",70,72,86,92,,105,104,103,100,93,81,71,105
659,"ROCKFORD,IL",63,70,85,91,,101,105,104,102,90,76,69,105
660,"INDIANAPOLIS,IN",71,76,85,89,,104,105,102,100,91,81,74,105
661,"WATERLOO,IA",65,66,87,100,,103,105,105,99,95,80,67,105
662,"BATON ROUGE,LA",85,87,91,93,,103,102,105,104,97,89,85,105
663,"MINNEAPOLIS-ST.PAUL,MN",58,61,83,95,98,103,105,102,98,90,77,68,105
664,"HELENA,MT",63,69,78,86,93,103,105,105,99,87,75,65,105
665,"KALISPELL,MT",56,64,73,85,95,102,104,105,99,86,69,58,105
666,"CLAYTON,NM",80,83,87,92,99,105,105,102,99,93,86,83,105
667,"RALEIGH,NC",80,84,92,95,97,105,105,105,104,98,88,81,105
668,"ALLENTOWN,PA",72,76,87,93,97,100,105,100,99,90,81,72,105
669,"KNOXVILLE,TN",77,83,88,93,96,105,105,102,103,92,84,80,105
670,"OAK RIDGE,TN",76,79,87,92,94,104,105,103,102,90,85,78,105
671,"NORFOLK,VA",80,82,88,97,100,101,105,104,99,95,86,82,105
672,"RICHMOND,VA",81,82,91,96,100,104,105,104,103,99,86,81,105
673,"ROANOKE,VA",79,80,87,95,96,104,104,105,101,93,83,80,105
674,"HUNTSVILLE,AL",77,83,88,92,96,106,105,105,101,91,84,79,106
675,"MONTGOMERY,AL",83,85,89,94,98,105,105,106,101,100,88,85,106
676,"GRAND JUNCTION,CO",62,70,81,89,,105,106,103,100,88,76,66,106
677,"PENSACOLA,FL",81,82,87,96,,102,106,104,98,95,87,81,106
678,"ATLANTA,GA",79,80,89,93,,106,105,104,99,95,84,79,106
679,"COLUMBUS,GA",83,83,89,94,,106,105,104,100,96,86,82,106
680,"FORT WAYNE,IN",69,73,87,88,,106,103,101,101,90,79,71,106
681,"LOUISVILLE,KY",77,77,86,91,,105,106,105,104,93,84,76,106
682,"BALTIMORE,MD",75,79,89,94,,103,106,105,100,99,86,77,106
683,"ALPENA,MI",62,65,87,90,,104,106,102,99,90,77,65,106
684,"GREAT FALLS,MT",67,70,78,89,93,101,105,106,98,91,76,69,106
685,"ATLANTIC CITY,NJ",78,75,87,94,99,106,105,103,99,90,81,77,106
686,"FARGO,ND",55,66,78,100,98,100,106,106,102,97,74,57,106
687,"BROWNSVILLE,TX",93,94,106,102,102,103,104,105,105,99,98,94,106
688,"BIRMINGHAM,AL",81,83,89,92,99,106,107,105,102,94,85,80,107
689,"EVANSVILLE,IN",74,79,84,91,,107,107,104,103,94,83,77,107
690,"LAKE CHARLES,LA",82,83,90,95,,103,102,107,105,94,87,82,107
691,"JACKSON,MS",83,85,89,94,99,105,106,107,104,96,88,84,107
692,"MERIDIAN,MS",83,85,90,95,99,104,107,106,105,97,87,84,107
693,"TUPELO,MS",80,84,88,93,98,106,105,107,104,95,87,79,107
694,"MISSOULA,MT",59,66,78,87,95,102,107,105,99,85,73,60,107
695,"ELKO,NV",65,70,78,87,97,104,107,107,99,92,83,65,107
696,"ALBUQUERQUE,NM",69,76,85,89,98,107,105,101,100,91,77,72,107
697,"BURNS,OR",57,64,76,84,94,102,107,102,97,91,71,57,107
698,"PORTLAND,OR",66,71,80,90,100,102,107,107,105,92,73,65,107
699,"GREENVILLE-SPARTANBURG,SC",79,81,89,93,97,105,107,105,98,92,85,79,107
700,"CHATTANOOGA,TN",78,79,88,93,99,107,107,105,102,94,84,78,107
701,"SALT LAKE CITY,UT",63,69,80,89,99,105,107,106,100,89,75,69,107
702,"SHERIDAN,WY",70,76,80,86,95,105,107,106,103,93,81,72,107
703,"SANTA MARIA,CA",89,89,95,103,,96,95,99,105,108,96,90,108
704,"AUGUSTA,GA",83,86,91,96,,106,107,108,102,97,90,83,108
705,"MACON,GA",84,85,90,96,,108,108,105,102,100,88,82,108
706,"DES MOINES,IA",67,73,91,93,,103,106,108,101,95,81,69,108
707,"SIOUX CITY,IA",71,71,91,97,,108,108,104,103,94,82,70,108
708,"LEXINGTON,KY",80,80,86,91,,104,108,105,103,93,83,75,108
709,"PADUCAH,KY",75,78,85,90,,108,107,105,104,93,83,77,108
710,"ROCHESTER,MN",58,63,82,92,106,105,108,100,100,93,77,63,108
711,"BILLINGS,MT",68,72,80,90,95,105,108,105,103,91,77,69,108
712,"GLASGOW,MT",61,71,79,93,102,108,108,108,103,92,79,62,108
713,"LINCOLN,NE",73,77,91,97,100,107,108,107,106,94,85,70,108
714,"RENO,NV",71,75,83,90,97,104,108,105,101,93,77,71,108
715,"NEWARK,NJ",74,76,89,97,99,102,108,105,105,93,85,76,108
716,"EUGENE,OR",68,72,78,86,95,102,106,108,103,94,76,68,108
717,"SALEM,OR",68,72,80,93,100,105,108,108,104,93,74,72,108
718,"MEMPHIS,TN",79,81,86,94,99,104,108,107,103,95,86,81,108
719,"PORT ARTHUR,TX",82,85,89,94,98,104,103,108,105,95,88,84,108
720,"SPOKANE,WA",62,63,72,90,97,105,108,108,98,87,70,60,108
721,"LA CROSSE,WI",57,64,84,93,95,102,108,105,100,93,77,67,108
722,"WINSLOW,AZ",75,83,87,94,103,107,109,104,99,93,82,74,109
723,"PUEBLO,CO",81,81,86,93,,108,109,105,101,94,85,82,109
724,"ATHENS,GA",80,81,89,93,,109,108,107,99,98,86,79,109
725,"SOUTH BEND,IN",68,74,85,91,,106,109,105,99,92,82,70,109
726,"SHREVEPORT,LA",85,89,92,94,,104,107,109,109,98,88,84,109
727,"KANSAS CITY,MO",74,78,86,93,95,105,107,109,106,95,82,74,109
728,"WINNEMUCCA,NV",68,74,82,90,98,106,109,108,103,94,77,70,109
729,"COLUMBIA,SC",84,84,91,94,101,109,107,107,101,101,90,83,109
730,"NASHVILLE,TN",78,84,86,91,95,109,107,106,105,94,84,79,109
731,"CORPUS CHRISTI,TX",91,97,102,103,103,107,103,107,109,101,98,91,109
732,"HOUSTON,TX",84,91,91,95,99,107,104,109,109,96,89,85,109
733,"BISHOP,CA",77,81,87,93,102,109,110,107,106,97,89,81,110
734,"OMAHA,NE",69,78,91,97,101,105,110,107,103,95,83,69,110
735,"SCOTTSBLUFF,NE",74,77,87,93,103,106,110,105,102,92,83,77,110
736,"WILLISTON,ND",58,66,84,92,106,108,110,108,104,93,76,63,110
737,"SIOUX FALLS,SD",66,70,88,94,104,110,110,109,104,94,81,63,110
738,"ABILENE,TX",88,93,97,104,109,109,110,108,107,103,92,89,110
739,"YAKIMA,WA",68,69,80,92,102,108,109,110,100,91,73,67,110
740,"LONG BEACH,CA",93,91,98,105,104,109,107,105,111,111,101,92,111
741,"SAN DIEGO,CA",88,90,93,98,,101,99,98,111,107,100,88,111
742,"BOISE,ID",63,71,81,92,,110,111,110,102,94,78,65,111
743,"DODGE CITY,KS",80,86,93,100,,111,109,108,107,98,91,86,111
744,"GOODLAND,KS",79,81,90,96,,110,111,108,105,96,87,83,111
745,"COLUMBIA,MO",77,82,85,90,92,107,111,110,101,94,83,76,111
746,"HAVRE,MT",68,74,79,91,98,105,106,111,101,90,78,65,111
747,"GRAND ISLAND,NE",76,80,90,96,102,108,111,110,104,97,84,80,111
748,"RAPID CITY,SD",76,75,84,93,98,109,111,107,104,96,83,75,111
749,"AMARILLO,TX",81,88,94,99,104,111,106,107,103,99,87,81,111
750,"SAN ANGELO,TX",91,97,98,107,110,110,111,111,107,102,93,91,111
751,"SAN ANTONIO,TX",89,100,100,101,104,108,106,110,111,99,94,90,111
752,"VICTORIA,TX",88,95,97,98,101,109,107,109,111,99,93,88,111
753,"SPRINGFIELD,IL",73,78,91,90,,104,112,108,102,93,83,74,112
754,"TOPEKA,KS",78,84,89,97,,107,110,112,110,96,85,74,112
755,"NORTH PLATTE,NE",74,79,91,98,99,107,112,108,103,94,83,75,112
756,"BISMARCK,ND",63,69,81,93,96,111,112,107,105,95,79,65,112
757,"HURON,SD",65,71,89,97,106,109,112,110,106,102,86,71,112
758,"AUSTIN,TX",90,99,98,99,102,109,109,112,112,102,91,90,112
759,"DALLAS,TX",88,95,97,100,103,112,111,111,110,100,89,89,112
760,"DEL RIO,TX",90,99,101,106,109,112,110,109,110,106,96,90,112
761,"WACO,TX",90,96,100,101,102,109,109,112,111,101,92,91,112
762,"FRESNO,CA",78,80,91,100,107,110,113,112,111,102,90,77,113
763,"LOS ANGELES,CA",95,95,98,106,102,112,107,105,113,108,100,92,113
764,"WICHITA,KS",75,87,89,96,,110,113,111,108,97,86,83,113
765,"SPRINGFIELD,MO",76,81,87,93,93,101,113,108,104,93,83,77,113
766,"NORFOLK,NE",74,76,92,95,103,106,113,107,102,98,83,71,113
767,"OKLAHOMA CITY,OK",80,92,93,100,104,105,110,113,108,96,87,86,113
768,"TULSA,OK",80,90,96,102,97,106,112,113,109,98,88,80,113
769,"LITTLE ROCK,AR",83,85,91,95,98,107,112,114,106,98,86,81,114
770,"VALENTINE,NE",72,78,87,100,99,110,114,108,105,96,86,74,114
771,"ROSWELL,NM",82,87,93,102,107,114,111,107,104,99,88,84,114
772,"PENDLETON,OR",71,75,80,95,102,109,114,113,104,93,80,68,114
773,"EL PASO,TX",80,83,90,98,105,114,112,108,104,96,87,80,114
774,"LUBBOCK,TX",83,89,95,104,109,114,108,106,104,100,90,82,114
775,"WALLA WALLA,WA",70,73,79,96,100,113,114,114,104,89,81,71,114
776,"FORT SMITH,AR",81,86,94,96,98,106,111,115,109,96,86,82,115
777,"BAKERSFIELD,CA",82,87,94,101,107,114,115,112,112,103,94,83,115
778,"SACRAMENTO,CA",76,76,88,95,,115,114,110,108,104,87,73,115
779,"STOCKTON,CA",75,78,87,100,,111,115,109,108,101,85,73,115
780,"LEWISTON,ID",66,72,78,97,,111,110,115,103,89,77,66,115
781,"ST. LOUIS,MO",77,85,89,93,98,108,115,107,104,94,85,76,115
782,"MEDFORD,OR",71,79,86,93,103,111,115,114,110,99,80,72,115
783,"ABERDEEN,SD",63,70,86,98,110,112,115,112,107,96,79,69,115
784,"CONCORDIA,KS",78,86,97,100,,109,114,116,112,102,85,82,116
785,"MIDLAND-ODESSA,TX",84,90,97,104,108,116,112,107,107,101,90,85,116
786,"TUCSON,AZ",87,92,99,104,109,117,114,112,107,102,93,84,117
787,"LAS VEGAS,NV",77,87,92,99,109,117,117,116,113,103,87,77,117
788,"WICHITA FALLS,TX",87,93,100,103,110,117,114,113,111,102,89,88,117
789,"REDDING,CA",80,83,88,96,106,117,118,115,116,105,88,78,118
790,"PHOENIX,AZ",88,92,100,105,113,122,121,117,118,107,96,88,122
