index,CITY,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
405,"CHICAGO,IL",65,72,88,91,,104,104,101,99,91,78,71,104
406,"MOLINE,IL",69,71,88,93,,104,104,103,99,95,80,71,104
407,"JACKSON,KY",78,79,87,92,,104,101,101,96,89,82,79,104
408,"DETROIT,MI",64,70,86,89,95,104,102,100,98,91,77,69,104
409,"GRAND RAPIDS,MI",63,69,87,88,92,98,104,100,94,88,77,69,104
410,"CHARLOTTE,NC",79,82,90,93,100,104,104,104,104,98,85,80,104
411,"WILMINGTON,NC",82,85,89,95,98,104,102,103,98,95,87,82,104
412,"GRAND FORKS,ND",52,67,80,100,101,100,104,104,103,92,75,56,104
413,"CINCINNATI,OH",74,75,84,89,93,102,104,102,102,91,81,75,104
414,"CLEVELAND,OH",73,74,83,88,92,104,103,102,101,90,82,77,104
415,"COLUMBUS,OH",74,75,85,89,93,101,104,101,100,91,80,76,104
416,"TOLEDO,OH",66,71,85,88,96,104,104,99,98,91,80,70,104
417,"PHILADELPHIA,PA",74,74,86,95,97,100,104,101,100,89,84,73,104
418,"PROVIDENCE,RI",69,72,85,98,96,97,102,104,100,88,81,77,104
419,"CHARLESTON,SC",82,83,94,94,99,104,103,103,100,95,87,81,104
420,"GALVESTON,TX",87,81,87,95,93,100,98,100,104,92,84,80,104
421,"OLYMPIA,WA",64,73,79,87,96,98,104,104,98,90,74,64,104
422,"CHARLESTON,WV",79,79,89,94,94,103,104,104,102,93,85,80,104
423,"HUNTINGTON,WV",78,79,87,92,93,103,104,103,98,93,83,80,104
424,"GREEN BAY,WI",56,61,82,89,99,101,104,100,97,88,74,64,104
425,"MADISON,WI",62,64,83,94,94,101,104,102,99,90,77,65,104
426,"CASPER,WY",60,68,77,84,95,102,104,102,97,87,72,63,104
427,"SAN FRANCISCO,CA",79,81,87,94,,103,95,98,101,102,86,76,103
428,"SANTA BARBARA,CA",86,86,94,96,,98,97,98,103,103,97,89,103
429,"BRIDGEPORT,CT",68,67,84,91,,97,103,100,99,89,78,76,103
430,"HARTFORD,CT",72,73,89,96,,101,103,102,101,91,83,76,103
431,"WILMINGTON,DE",75,78,86,94,,100,103,101,100,91,85,75,103
432,"FORT MYERS,FL",88,92,94,96,,103,101,100,98,95,95,90,103
433,"GAINESVILLE,FL",84,88,90,96,,103,99,100,97,93,91,85,103
434,"PORTLAND,ME",67,64,88,92,,98,100,103,95,88,74,71,103
435,"BOSTON,MA",72,70,89,94,,100,103,102,100,90,83,76,103
436,"HOUGHTON LAKE,MI",54,59,85,86,90,103,98,96,92,85,72,64,103
437,"LANSING,MI",66,69,86,86,94,99,103,100,97,89,79,69,103
438,"INTERNATIONAL FALLS,MN",49,58,79,93,95,101,103,96,96,88,73,56,103
439,"SAINT CLOUD,MN",56,57,79,96,98,102,103,103,98,90,75,64,103
440,"GREENSBORO-WNSTN-SALM-HGHPT,NC",78,81,90,94,98,102,102,103,100,95,85,78,103
441,"YOUNGSTOWN,OH",71,73,82,90,95,99,103,97,99,88,80,76,103
442,"MIDDLETOWN/HARRISBURG,PA",75,78,87,93,96,101,103,102,101,91,82,75,103
443,"PITTSBURGH,PA",75,76,83,89,91,98,103,100,97,89,82,74,103
444,"WILLIAMSPORT,PA",69,71,87,94,96,102,103,100,102,91,83,70,103
445,"BRISTOL-JHNSN CTY-KNGSPRT,TN",79,80,85,90,94,103,102,101,100,91,81,78,103
446,"LYNCHBURG,VA",80,79,87,94,93,103,103,102,101,93,83,79,103
447,"SEATTLE,WA",64,70,78,85,93,96,103,99,98,89,74,66,103
448,"MILWAUKEE,WI",63,68,84,91,93,101,103,103,98,89,77,68,103
449,"DAYTONA BEACH,FL",92,89,92,96,,102,102,101,99,95,90,88,102
450,"VERO BEACH,FL",88,89,93,95,,102,99,98,97,94,92,87,102
451,"NEW ORLEANS,LA",83,85,89,92,,101,101,102,101,94,87,84,102
452,"CONCORD,NH",69,67,89,95,97,98,102,101,98,90,80,73,102
453,"ISLIP,NY",69,67,82,94,98,96,102,100,93,88,78,77,102
454,"ROCHESTER,NY",74,73,84,93,94,100,102,99,99,91,81,72,102
455,"DAYTON,OH",71,73,86,89,93,102,102,102,101,89,79,72,102
456,"WALLOPS ISLAND,VA",79,79,86,93,97,100,102,100,96,91,82,78,102
457,"COLORADO SPRINGS,CO",73,76,81,87,,101,100,99,94,87,78,77,101
458,"ORLANDO,FL",87,89,92,95,,100,101,100,98,95,91,90,101
